epoch,accuracy,loss,val_accuracy,val_loss
0,0.10213132947683334,2.7393577098846436,0.1359446942806244,2.6935458183288574
1,0.11679191887378693,2.696871757507324,0.13709677755832672,2.6550920009613037
2,0.12787975370883942,2.675473213195801,0.1376728117465973,2.635413885116577
3,0.13206849992275238,2.663663625717163,0.1445852518081665,2.6275179386138916
4,0.13638043403625488,2.648254871368408,0.14170506596565247,2.628324508666992
5,0.1393371969461441,2.6453022956848145,0.15437787771224976,2.6157262325286865
6,0.1397067904472351,2.6378183364868164,0.14170506596565247,2.6114726066589355
7,0.13946038484573364,2.6348042488098145,0.14516128599643707,2.6020138263702393
8,0.13588763773441315,2.6308200359344482,0.14688940346240997,2.595318555831909
9,0.14635948836803436,2.624069929122925,0.1538018435239792,2.5993213653564453
10,0.14032277464866638,2.621316432952881,0.16993087530136108,2.591122627258301
11,0.14746828377246857,2.612783908843994,0.14170506596565247,2.5994253158569336
12,0.14451152086257935,2.614978790283203,0.1658986210823059,2.583493232727051
13,0.1464826911687851,2.6099648475646973,0.14919355511665344,2.583390712738037
14,0.14512750506401062,2.6058852672576904,0.14516128599643707,2.5932111740112305
